LOCATION,Math,Reading,Science,Accumulated
AUS,494,503,510,1507
AUT,497,485,495,1477
BEL,507,499,502,1508
CAN,516,527,528,1571
CZE,492,487,493,1472
DNK,511,500,502,1513
FIN,511,526,531,1568
FRA,493,499,495,1487
DEU,506,509,509,1524
GRC,454,467,455,1376
HUN,477,470,477,1424
ISL,488,482,473,1443
IRL,504,521,503,1528
ITA,490,485,481,1456
JPN,532,516,538,1586
KOR,524,517,516,1557
LUX,486,481,483,1450
MEX,408,423,416,1247
NLD,512,503,509,1524
NZL,495,509,513,1517
NOR,502,513,498,1513
POL,504,506,501,1511
PRT,492,498,501,1491
SVK,475,453,461,1389
ESP,486,496,493,1475
SWE,494,500,493,1487
CHE,521,492,506,1519
TUR,420,428,425,1273
GBR,492,498,509,1499
USA,470,497,496,1463
BRA,377,407,401,1185
CHL,423,459,447,1329
EST,520,519,534,1573
IDN,386,397,403,1186
ISR,470,479,467,1416
LVA,482,488,490,1460
RUS,494,495,487,1476
SVN,510,505,513,1528
OAVG,490,493,493,1476
COL,390,425,416,1231
HKG,548,527,523,1598
PER,387,398,397,1182
SGP,564,535,556,1655
TWN,542,497,532,1571
MAC,544,509,529,1582
